Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Urban Population,SP.URB.TOTL.IN.ZS,Afghanistan,AFG,24.803,25.02,25.25,25.495,25.754,26.026,26.314
Urban Population,SP.URB.TOTL.IN.ZS,Africa Eastern and Southern,AFE,34.42558369,34.89475257,35.35890068,35.84759778,36.33625937,36.82830237,37.32369884
Urban Population,SP.URB.TOTL.IN.ZS,Africa Western and Central,AFW,44.80586326,45.42506638,46.03947782,46.64942583,47.25541322,47.85783102,48.45480627
Urban Population,SP.URB.TOTL.IN.ZS,Albania,ALB,57.434,58.421,59.383,60.319,61.229,62.112,62.969
Urban Population,SP.URB.TOTL.IN.ZS,Algeria,DZA,70.848,71.459,72.052,72.629,73.189,73.733,74.261
Urban Population,SP.URB.TOTL.IN.ZS,American Samoa,ASM,87.238,87.198,87.17,87.153,87.147,87.153,87.169
Urban Population,SP.URB.TOTL.IN.ZS,Andorra,AND,88.345,88.248,88.15,88.062,87.984,87.916,87.858
Urban Population,SP.URB.TOTL.IN.ZS,Angola,AGO,63.446,64.149,64.839,65.514,66.177,66.825,67.46
Urban Population,SP.URB.TOTL.IN.ZS,Antigua and Barbuda,ATG,25,24.846,24.713,24.599,24.506,24.433,24.38
Urban Population,SP.URB.TOTL.IN.ZS,Arab World,ARB,57.84615313,58.12325538,58.37128997,58.62957616,58.88381697,59.08761901,59.29488647
Urban Population,SP.URB.TOTL.IN.ZS,Argentina,ARG,91.503,91.627,91.749,91.87,91.991,92.111,92.229
Urban Population,SP.URB.TOTL.IN.ZS,Armenia,ARM,63.085,63.082,63.103,63.149,63.219,63.313,63.431
Urban Population,SP.URB.TOTL.IN.ZS,Aruba,ABW,43.108,43.192,43.293,43.411,43.546,43.697,43.866
Urban Population,SP.URB.TOTL.IN.ZS,Australia,AUS,85.701,85.8,85.904,86.012,86.124,86.241,86.362
Urban Population,SP.URB.TOTL.IN.ZS,Austria,AUT,57.715,57.905,58.094,58.297,58.515,58.748,58.995
Urban Population,SP.URB.TOTL.IN.ZS,Azerbaijan,AZE,54.714,55.021,55.343,55.68,56.031,56.397,56.776
Urban Population,SP.URB.TOTL.IN.ZS,"Bahamas, The",BHS,82.746,82.832,82.925,83.025,83.132,83.245,83.365
Urban Population,SP.URB.TOTL.IN.ZS,Bahrain,BHR,88.999,89.09,89.186,89.287,89.394,89.506,89.622
Urban Population,SP.URB.TOTL.IN.ZS,Bangladesh,BGD,34.308,35.083,35.858,36.632,37.405,38.177,38.946
Urban Population,SP.URB.TOTL.IN.ZS,Barbados,BRB,31.249,31.193,31.159,31.147,31.158,31.191,31.246
Urban Population,SP.URB.TOTL.IN.ZS,Belarus,BLR,77.181,77.661,78.134,78.595,79.044,79.483,79.91
Urban Population,SP.URB.TOTL.IN.ZS,Belgium,BEL,97.876,97.919,97.961,98.001,98.041,98.079,98.117
Urban Population,SP.URB.TOTL.IN.ZS,Belize,BLZ,45.406,45.495,45.601,45.724,45.866,46.025,46.201
Urban Population,SP.URB.TOTL.IN.ZS,Benin,BEN,45.695,46.229,46.768,47.312,47.861,48.415,48.972
Urban Population,SP.URB.TOTL.IN.ZS,Bermuda,BMU,100,100,100,100,100,100,100
Urban Population,SP.URB.TOTL.IN.ZS,Bhutan,BTN,38.678,39.428,40.167,40.895,41.612,42.316,43.008
Urban Population,SP.URB.TOTL.IN.ZS,Bolivia,BOL,68.393,68.738,69.08,69.425,69.773,70.123,70.475
Urban Population,SP.URB.TOTL.IN.ZS,Bosnia and Herzegovina,BIH,47.173,47.518,47.876,48.245,48.626,49.02,49.425
Urban Population,SP.URB.TOTL.IN.ZS,Botswana,BWA,67.155,67.933,68.7,69.446,70.172,70.877,71.56
Urban Population,SP.URB.TOTL.IN.ZS,Brazil,BRA,85.77,86.042,86.309,86.569,86.824,87.073,87.317
Urban Population,SP.URB.TOTL.IN.ZS,British Virgin Islands,VGB,46.583,46.957,47.337,47.723,48.116,48.515,48.92
Urban Population,SP.URB.TOTL.IN.ZS,Brunei Darussalam,BRN,76.663,76.99,77.312,77.629,77.942,78.25,78.554
Urban Population,SP.URB.TOTL.IN.ZS,Bulgaria,BGR,73.99,74.329,74.669,75.008,75.347,75.686,76.025
Urban Population,SP.URB.TOTL.IN.ZS,Burkina Faso,BFA,27.53,28.134,28.743,29.358,29.98,30.607,31.24
Urban Population,SP.URB.TOTL.IN.ZS,Burundi,BDI,12.078,12.388,12.706,13.032,13.366,13.708,14.058
Urban Population,SP.URB.TOTL.IN.ZS,Cabo Verde,CPV,64.3,64.784,65.261,65.732,66.195,66.652,67.102
Urban Population,SP.URB.TOTL.IN.ZS,Cambodia,KHM,22.188,22.582,22.98,23.388,23.805,24.232,24.668
Urban Population,SP.URB.TOTL.IN.ZS,Cameroon,CMR,54.578,55.179,55.777,56.374,56.968,57.56,58.148
Urban Population,SP.URB.TOTL.IN.ZS,Canada,CAN,81.259,81.3,81.35,81.411,81.482,81.562,81.653
