Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Afghanistan,AFG,10.10534763,11.81859016,12.62081718,14.20841885,14.83131981,15.53361416,21.82794952
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Africa Eastern and Southern,AFE,5.998179706,6.097985922,5.953892185,5.809333943,5.830223373,5.881778983,5.865552576
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Africa Western and Central,AFW,3.806467511,3.796931468,3.817354666,3.430337752,3.417184441,3.840715341,4.140713497
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Albania,ALB,6.46411896,6.7293272,6.57848787,6.66844559,6.86214113,7.51920271,7.26731825
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Algeria,DZA,6.96321011,6.58904791,6.53307724,6.38729763,5.86751413,6.14268684,5.5283432
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,American Samoa,ASM,,,,,,,
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Andorra,AND,6.91586447,6.90521765,7.07142639,7.37541723,7.323246,8.78673935,8.33449364
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Angola,AGO,2.60579467,2.71314979,2.79383755,2.58879566,2.47517991,3.22070646,2.96010613
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Antigua and Barbuda,ATG,5.27965546,5.12190151,4.87493944,4.84869289,4.37567186,5.92146206,5.85133028
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Arab World,ARB,4.994469805,5.273366893,5.172794237,4.858297992,4.954509067,5.7502115,5.327656798
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Argentina,ARG,10.22933674,9.85558891,10.23174763,10.29146862,10.04194355,10.34701538,9.70880699
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Armenia,ARM,10.12,9.95,10.36,10.01,11.38,12.24,12.34
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Aruba,ABW,,,,,,,
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Australia,AUS,10.18225861,10.09288597,10.12281322,10.05971909,10.21965981,10.6837368,10.54363918
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Austria,AUT,10.37,10.35,10.38,10.35,10.49,11.39,12.1
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Azerbaijan,AZE,4.34,4.42,4.07,3.84,4.18,5.85,4.7
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Bahamas, The",BHS,5.16048241,5.68248844,6.70352888,5.98263836,5.82275152,7.64700842,7.13872051
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Bahrain,BHR,4.97671938,4.86051178,4.51235676,4.12745667,3.95980334,4.71684837,4.26834059
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Bangladesh,BGD,2.27217698,2.38938212,2.36720181,2.31622243,2.25762248,2.27063942,2.36492991
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Barbados,BRB,6.83201313,6.83736086,6.65253401,6.45336485,6.20015001,7.37276554,8.09043312
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Belarus,BLR,6.07,5.91,5.76,5.53,5.86,6.41,6.57
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Belgium,BEL,10.79745102,10.79354668,10.79855728,10.86148262,10.79477787,11.19751263,11.04290771
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Belize,BLZ,4.65365601,4.76508141,4.61620188,4.74657917,4.81374073,5.30974436,4.98043823
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Benin,BEN,2.72813416,2.79549599,2.66813827,2.88632059,2.50914454,2.46970391,2.58129549
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Bermuda,BMU,,,,,,,
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Bhutan,BTN,3.75701189,3.57613945,3.3407371,3.2427721,3.60361075,4.36274862,3.84550023
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Bolivia,BOL,6.55064964,6.83333063,6.4901948,6.60399437,6.88792992,8.0225811,8.15972805
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Bosnia and Herzegovina,BIH,9.24,9.14,8.82,8.76,8.93,9.7,9.56
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Botswana,BWA,6.10287762,5.76837635,6.62986994,6.04010344,6.12193203,6.1213398,6.30929565
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Brazil,BRA,8.90929985,9.16901493,9.47124863,9.46475029,9.61449146,10.18235016,9.89072323
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,British Virgin Islands,VGB,,,,,,,
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Brunei Darussalam,BRN,2.38708901,2.54828691,2.27022862,2.41289377,2.19410944,2.39334464,2.20486665
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Bulgaria,BGR,7.39,7.46,7.49,7.33,7.09,8.48,8.56
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Burkina Faso,BFA,5.13192415,5.96067238,6.02490044,5.0057807,5.31868935,6.50193262,6.37691164
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Burundi,BDI,6.29022646,7.06148243,6.95275736,7.29396152,9.05010796,10.71837234,9.10190964
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Cabo Verde,CPV,4.82334185,4.84606647,5.2683692,4.73804712,4.56319857,6.12421703,6.90378904
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Cambodia,KHM,6.19431591,6.11648464,5.65125847,6.06630135,6.84972715,7.11156559,7.53223085
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Cameroon,CMR,3.59505081,3.5937767,3.39752436,3.61970162,3.65157914,3.77177453,3.82407379
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Canada,CAN,10.73869705,11.0319252,10.90631104,10.90542507,11.00887775,13.0351181,12.3341074
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Caribbean small states,CSS,5.244015481,5.406694741,5.693009062,5.635670815,5.740380652,6.656423507,6.300225632
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Cayman Islands,CYM,,,,,,,
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Central African Republic,CAF,5.03434181,5.44402313,6.66541576,10.99657822,7.76124763,8.98538017,9.06853294
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Central Europe and the Baltics,CEB,6.520013169,6.676983248,6.604894014,6.552157054,6.663201617,7.265007052,7.442092414
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Chad,TCD,4.52395248,4.73396969,4.64740467,4.56768799,4.59277868,5.53655243,5.19022274
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Channel Islands,CHI,,,,,,,
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Chile,CHL,8.3513937,8.55767059,9.090518,9.22575188,9.36262131,9.72726822,9.34327984
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,China,CHN,4.93827963,4.97955608,5.06592178,5.16790485,5.3502779,5.59359741,5.38360548
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Colombia,COL,7.52338552,7.53117037,7.67864323,7.62541437,7.77954912,8.71432114,9.01772404
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Comoros,COM,4.60089922,4.65263557,5.26807451,4.90318584,5.18044472,5.86521959,6.33513117
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Congo, Dem. Rep.",COD,3.74785447,4.20027828,4.00057793,3.24127173,3.508039,4.05092573,3.7859261
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Congo, Rep.",COG,2.45668483,2.77497125,2.52240992,1.8976357,2.54176092,4.39382887,3.87537813
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Costa Rica,CRI,7.59196234,7.31724358,7.04522991,7.28587723,7.22124958,7.8254571,7.56881428
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Cote d'Ivoire,CIV,3.2198832,3.32101274,3.24693036,3.0916779,3.21496511,3.62587261,3.13269377
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Croatia,HRV,6.69,6.73,6.66,6.75,6.8,7.72,8.1
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Cuba,CUB,12.81401348,12.2177515,11.47197342,11.0184288,11.08496857,12.48639679,13.78727818
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Curacao,CUW,,,,,,,
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Cyprus,CYP,6.79,6.65,6.62,6.83,7.07,8.41,9.43
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Czechia,CZE,7.36897945,7.44554329,7.38071585,7.47048092,7.60336018,9.2136879,9.4887867
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Denmark,DNK,10.34,10.25,10.1,10.1,10.15,10.56,10.82
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Djibouti,DJI,3.3475771,2.7416594,2.46857476,2.33968735,2.16640544,2.15048313,2.87667227
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Dominica,DMA,5.15941811,5.12308073,5.46245432,6.18495989,5.16903925,5.99901152,6.50494003
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Dominican Republic,DOM,4.72216797,4.57663107,4.49336958,4.12601566,4.23948717,4.93998051,4.91815567
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Early-demographic dividend,EAR,5.129686261,5.048020264,4.890204181,4.704951094,4.64126514,5.036674862,5.039169861
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,East Asia & Pacific,EAS,6.500715136,6.581081996,6.540787447,6.557047016,6.730005023,6.950535819,6.761496376
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,East Asia & Pacific (excluding high income),EAP,4.717823605,4.754000806,4.818915708,4.917928687,5.066156525,5.351997905,5.259768862
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,East Asia & Pacific (IDA & IBRD countries),TEA,4.718025714,4.754199936,4.819116383,4.91811511,5.06634043,5.352184642,5.259957475
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Ecuador,ECU,7.60513353,7.41604376,7.53717899,7.82609653,7.77070522,8.35889626,8.28661728
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Egypt, Arab Rep.",EGY,5.06153202,5.07462406,5.34661913,4.74892998,4.5994668,4.15384626,4.60955143
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,El Salvador,SLV,8.75833225,8.71456337,8.42286873,8.322752,8.80846119,9.08151054,9.71643353
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Equatorial Guinea,GNQ,2.34058356,2.8594172,2.74714279,2.85223937,3.16833544,3.89984655,3.40450907
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Eritrea,ERI,4.45034695,3.6608541,3.98912001,4.12701797,4.58734369,4.15886974,4.15077114
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Estonia,EST,6.64135027,6.70240974,6.59727097,6.6912818,6.81699181,7.57906532,7.49057293
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Eswatini,SWZ,7.05855274,6.82044792,6.98103714,6.62469387,7.15369368,6.59767151,7.03582335
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Ethiopia,ETH,3.82316828,3.60033751,3.45336914,3.30371761,3.23382378,3.48096275,3.20824432
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Euro area,EMU,10.21843629,10.18884948,10.15889318,10.14895477,10.23091068,11.236186,11.32141718
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Europe & Central Asia,ECS,9.265183109,9.309262365,9.21979819,9.241914057,9.343479671,10.4980617,10.52896024
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Europe & Central Asia (excluding high income),ECA,4.703100535,4.877937736,4.780643129,4.804599945,5.000734588,5.538881833,5.684637651
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,5.22868755,5.339290306,5.346582818,5.362090958,5.579362453,6.596250059,6.615543017
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,European Union,EUU,9.957893109,9.945835547,9.897823774,9.874150845,9.936616441,10.87223206,10.95035257
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Faroe Islands,FRO,,,,,,,
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Fiji,FJI,3.32468939,3.27979708,3.18689561,4.10572624,4.25136137,4.76918268,5.38085365
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Finland,FIN,9.65,9.38,9.13,9.05,9.17,9.63,10.25
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Fragile and conflict affected situations,FCS,4.452833085,4.779831863,4.74427021,4.443085524,4.379815292,4.867284128,5.164709939
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,France,FRA,11.44817352,11.47060013,11.35469437,11.20798969,11.0888586,12.13096142,12.30787277
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,French Polynesia,PYF,,,,,,,
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Gabon,GAB,2.65743947,3.1076982,2.78068876,2.74500418,2.76836324,3.41300368,2.70633149
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Gambia, The",GMB,3.1761291,3.19523716,3.35449266,3.34384227,3.158566,3.72824287,3.18962693
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Georgia,GEO,7.42,8,7.06,7.11,6.66,8.43,8.42
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Germany,DEU,11.19047737,11.241889,11.33617592,11.48051548,11.71550655,12.69255257,12.93412971
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Ghana,GHA,4.5429678,3.39035821,3.73087549,3.80673027,4.29847813,4.01752424,4.15176868
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Gibraltar,GIB,,,,,,,
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Greece,GRC,8.22004509,8.44874668,8.13515854,8.12024307,8.19811249,9.50363827,9.17298794
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Greenland,GRL,,,,,,,
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Grenada,GRD,4.64675617,4.43910027,4.65701056,4.58373737,4.93189621,5.55900049,5.6984539
